userWallet,num_deposits,total_deposit_usd,num_borrows,total_borrow_usd,num_repays,total_repay_usd,total_withdraw_usd,num_liquidations,repay_to_borrow_ratio,net_contribution_usd,proxy_score,credit_score
0x000e840a3122ec28d0c29321db172375cb049762,5,700.190083689281,2.0,2.168257036891647e-10,2.0,2.173913973215126e-10,2.672482136741055e-10,0.0,1.0026089786530055,700.1900836890143,651,648
0x000e9bd1d42999446d60ff60f1fb3afb13604202,8,66.65412381021297,6.0,3.463095615590085e-11,4.0,3.537800801727156e-11,40.909209225899254,0.0,1.021571794264289,25.744914584314465,605,605
0x000eab293e332bd6e67018a9150e8807bfac3233,1,1.097254760600487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097254760600487,500,500
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,1,102.37738923188869,0.0,0.0,0.0,0.0,82.48886148682799,0.0,0.0,19.8885277450607,505,505
0x000f4432a40560bbff1b581a8b7aded8dab80026,7,31488.764002887656,6.0,1.760397911970302e-08,3.0,1.7566377247476396e-08,35389.388645162835,0.0,0.9978640129046428,-3900.6246422752156,412,270
0x000f7f22bfc28d940d4b68e13213ab17cf107790,26,40942704.98824154,19.0,34436280.28011006,13.0,34334725.65069429,40777990.57890072,0.0,0.9970509407929744,63159.7799250558,1000,1000
0x000f908720f9ce164d90f4fc89459fab4442907f,32,1533.5142063321437,30.0,796.4431003956306,17.0,792.7758701469054,1530.0300187535227,0.0,0.9953954899641876,-0.1830426701039869,680,672
0x000fbfec300959d0f2f327728a889c1f5de8e2df,3,591.4282535689781,1.0,140.01063060029028,1.0,139.70001148776586,350.14550700363304,0.0,0.9977814605134435,240.9721274528207,619,617
0x0011730224657eb527cf736039854c3a3f140e63,1,1507.324205025002,1.0,738.0253561825903,1.0,738.0253561825903,1520.678661300002,0.0,1.0,-13.354456275000075,642,643
0x00120ea6fdbaf057eadc1bd149f957488444e92c,2,261.125891711734,1.0,2.602967788219515e-12,1.0,2.6163774015531503e-12,0.0,0.0,1.0051516631878137,261.125891711734,607,608
0x0012668072f7e0579caf7e047713d8b6d476d0db,2,2.2961814875215225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2961814875215225,500,500
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,101,18386.33810321085,24.0,4965.173744632387,93.0,935.1319572950626,3814.9813393370546,2.0,0.18833821440911092,10541.31497653647,955,934
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,0.20424043145808832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20424043145808832,500,500
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,2.4353377818598245e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4353377818598245e-12,500,500
0x0014dfac19477a83d7354e6eaac28642c1959398,10,86721.51626282626,6.0,1.8149001627910837e-08,9.0,1.8188824774686095e-08,82835.8750569956,0.0,1.0021942334675873,3885.6412058307033,1000,1000
0x001589fe1923c2118f34e4277f2ef650fcbf0161,19,3758.4671136086754,2.0,1419.946916528213,0.0,0.0,2176.2171066894,0.0,0.0,162.30309039106214,612,628
0x00159370cbe576b765a7fb2e78582e0cb563d445,10,2451.0907774069797,7.0,2348.736820286722,0.0,0.0,1090.721667688074,0.0,0.0,-988.3677105678162,413,480
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,1,1.414367721676618e-11,0.0,0.0,0.0,0.0,1.4130603586076489e-11,0.0,0.0,1.3073630689690491e-14,500,500
0x0016469a65facda9e86fd0ae0e9661128843c224,1,0.020668510838366422,1.0,0.004676133673838557,0.0,0.0,0.0,0.0,0.0,0.015992377164527866,502,502
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1,0.20245672002376752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20245672002376752,500,500
0x00183135585d70a523d61b2e43037a7138b36906,15,1662.2293870576693,13.0,3849.7900537521605,10.0,1709.0734256336661,729.8883218616618,0.0,0.4439393841666598,-1208.3755629224868,410,493
0x00184e8aa1e95f491f2d9601e12b540092160ded,1,102.30571110800008,1.0,24.98479710580002,1.0,24.98479710580002,102.30571110800008,0.0,1.0,0.0,588,588
0x0018583d7654803d2c59467e10dec5f70bbe1851,72,0.0002605831286238108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002605831286238108,500,500
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2,2.2596098782034474e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2596098782034474e-12,500,500
